Razão,Rua,Numero,Latitude,Longitude
GLB BRASIL 05 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
GLB BRASIL 06 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
GLB BRASIL 04 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
GLB BRASIL 08 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
GLB BRASIL 10 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
GLB BRASIL 09 EMPREENDIMENTOS IMOBILIARIOS LTDA,IGUATEMI,448,-23.5827007,-46.6831293
ARUAQUE EMPREENDIMENTOS SPE LTDA.,ARUAQUE,63,-23.4955562,-46.6064282
S & S SOLUTIONS CORPORATE FACILITIES,DR FRANCISCO EUGENIO DO AMARAL,S/N,-23.4543651,-46.6697376
CURSINO INCORPORACOES SPE LTDA,DOMINGOS DE MORAIS,2187,-23.5954834,-46.6362184
JAIME VIANA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,JOAO BIZARRO DA NAVE,491,-23.5725907,-46.56463489999999
WU2 ALPHA EMPREENDIMENTOS IMOBILIARIOS LTDA.,CARD ARCOVERDE,359,-23.5549839,-46.6767469
WU2 BETA EMPREENDIMENTOS IMOBILIARIOS LTDA.,CARD ARCOVERDE,359,-23.5549839,-46.6767469
SPE LOEFGREEN 893 EMPREENDIMENTOS IMOBILIARIOS LTDA,LOEFGREN,893,-23.5997767,-46.6341542
JHSF EMPREENDIMENTOS VILLAGE 07 LTDA.,MAGALHAES DE CASTRO,4800,-23.6012749,-46.6980412
JHSF EMPREENDIMENTOS VILLAGE 08 LTDA.,MAGALHAES DE CASTRO,4800,-23.6012749,-46.6980412
JHSF EMPREENDIMENTOS VILLAGE 06 LTDA.,MAGALHAES DE CASTRO,4800,-23.6012749,-46.6980412
ELUS CONSTRUTORA LTDA,EDUARDO SALAMONDE,282,-23.570731,-46.4742832
TEODORO HORST EMPREENDIMENTOS - SPE LTDA,TEODORO HORST,317,-23.4717357,-46.60989860000001
ALTAMURA EMPREENDIMENTOS IMOBILIARIOS LTDA,HENRI DUNANT,873,-23.6275011,-46.6992821
BR 6 FLORIDA EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,HELENA,260,-23.5930371,-46.68671699999999
RESIDENCIAL CUMARU S.P.E LTDA,CUMARU,402,-23.494259,-46.4326941
EMPREENDIMENTO CORONEL PEDRO DIAS SPE LTDA,CEL PEDRO DIAS DE CAMPOS,908,-23.5330872,-46.5334696
RESIDENCIAL JARAUARA EMPREENDIMENTO IMOBILIARIO SPE LTDA,JARAUARA,107,-23.5310516,-46.4989968
L.A.B. EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,MAGALHAES DE CASTRO,332,-23.6032407,-46.6984193
GRASETO EMPREENDIMENTOS IMOBILIARIOS LTDA,HENRI DUNANT,873,-23.6275011,-46.6992821
MCA EMPREENDIMENTOS SPE LTDA,MARIUS,514,-23.5774167,-46.5647966
DIALOGO 79 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DR EDUARDO DE SOUZA ARANHA,153,-23.5883429,-46.6731042
DIALOGO 80 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DR EDUARDO DE SOUZA ARANHA,153,-23.5883429,-46.6731042
DIALOGO 82 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DR EDUARDO DE SOUZA ARANHA,153,-23.5883429,-46.6731042
DIALOGO 81 EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DR EDUARDO DE SOUZA ARANHA,153,-23.5883429,-46.6731042
ALBEROBELLO INCORPORACAO LTDA,JOAQUIM FLORIANO,466,-23.5843951,-46.6750788
CCISA85 INCORPORADORA LTDA.,FUNCHAL,411,-23.5945069,-46.6895385
CCISA81 INCORPORADORA LTDA.,FUNCHAL,411,-23.5945069,-46.6895385
ARTUR DE AZEVEDO EMPREENDIMENTOS SPE LTDA,ARTUR DE AZEVEDO,1877,-23.566757,-46.6884319
CCISA86 INCORPORADORA LTDA.,FUNCHAL,411,-23.5945069,-46.6895385
CCISA91 INCORPORADORA LTDA.,FUNCHAL,411,-23.5945069,-46.6895385
CONDOMINIO RESIDENCIAL GIMENES SPE LTDA,MAJORIE,155,-23.6722257,-46.63471699999999
EMPREENDIMENTO I9 ESTONIA SPE LTDA,DR OLAVO EGIDIO,764,-23.5002791,-46.6183158
IBIRA OFFICES EMPREENDIMENTOS IMOBILIARIOS SPE LTDA,DR EDUARDO DE SOUZA ARANHA,99,-23.5883546,-46.6726207
MARB CONSTRUCAO SPE2 LTDA,LADARIO,385,-23.5387585,-46.6191864
